,plant,country,region,customer,date,carbuilds
91,Cherkessk,Russia,Europe,Derways,jan 2010,0
92,Cherkessk,Russia,Europe,Derways,jan 2010,0
93,Cherkessk,Russia,Europe,Derways,jan 2010,0
94,Cherkessk,Russia,Europe,Derways,jan 2010,0
95,Cologne,Germany,Europe,Ford,jan 2010,36937
96,Coventry,United Kingdom,Europe,Multimatic,jan 2010,0
97,Coventry,United Kingdom,Europe,Geely,jan 2010,115
98,Craiova,Romania,Europe,Ford,jan 2010,58
99,Crewe,United Kingdom,Europe,Volkswagen,jan 2010,316
100,Dartford,United Kingdom,Europe,Caterham,jan 2010,41
101,Dieppe,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
102,Dieppe,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,366
103,Dingolfing,Germany,Europe,BMW,jan 2010,9077
104,Douai,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,14196
105,Dresden,Germany,Europe,Volkswagen,jan 2010,171
106,Dueren,Germany,Europe,StreetScooter,jan 2010,0
107,Dusseldorf,Germany,Europe,Daimler,jan 2010,7033
108,East London,South Africa,Middle East/Africa,Daimler,jan 2010,3869
109,East London,South Africa,Middle East/Africa,Daimler,jan 2010,131
110,Ebbw Vale,United Kingdom,Europe,TVR,jan 2010,0
111,Eisenach,Germany,Europe,,jan 2010,10400
112,Eisenach,Germany,Europe,,jan 2010,0
113,Ellesmere Port,United Kingdom,Europe,PSA,jan 2010,8603
114,Ellesmere Port,United Kingdom,Europe,PSA,jan 2010,0
115,Emden,Germany,Europe,Volkswagen,jan 2010,15568
116,Esztergom,Hungary,Europe,Suzuki,jan 2010,14135
117,Fars,Iran,Middle East/Africa,Iran Khodro,jan 2010,0
118,Flins,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,13574
119,Gaydon,United Kingdom,Europe,Aston Martin,jan 2010,189
120,Gaydon,United Kingdom,Europe,Aston Martin,jan 2010,0
121,Gebze,Turkey,Europe,Honda,jan 2010,1620
122,Genk #1,Belgium,Europe,Ford,jan 2010,5733
123,Genk #2,Belgium,Europe,Ford,jan 2010,3794
124,Ghent,Belgium,Europe,Geely,jan 2010,18377
125,Ghent,Belgium,Europe,Geely,jan 2010,0
126,Gliwice,Poland,Europe,PSA,jan 2010,0
127,Gliwice,Poland,Europe,PSA,jan 2010,9316
128,Golpaigan,Iran,Middle East/Africa,Great Wall,jan 2010,0
129,Golpaigan,Iran,Middle East/Africa,Great Wall,jan 2010,244
130,Goodwood,United Kingdom,Europe,BMW,jan 2010,131
131,Graz,Austria,Europe,Magna-Steyr,jan 2010,1
132,Graz,Austria,Europe,Magna-Steyr,jan 2010,215
133,Graz,Austria,Europe,Magna-Steyr,jan 2010,962
134,Graz,Austria,Europe,Magna-Steyr,jan 2010,158
135,Graz #2,Austria,Europe,Magna-Steyr,jan 2010,2970
136,Graz #2,Austria,Europe,Magna-Steyr,jan 2010,0
137,Grugliasco,Italy,Europe,FCA,jan 2010,0
138,Gyor,Hungary,Europe,Volkswagen,jan 2010,2823
139,Halewood,United Kingdom,Europe,Tata,jan 2010,4410
140,Halewood,United Kingdom,Europe,Tata,jan 2010,0
141,Hambach,France,Europe,Daimler,jan 2010,6626
142,Hannover,Germany,Europe,Volkswagen,jan 2010,8765
143,Hethel,United Kingdom,Europe,Geely,jan 2010,209
144,Illyichevsk,Ukraine,Europe,AvtoZAZ,jan 2010,0
145,Illyichevsk,Ukraine,Europe,AvtoZAZ,jan 2010,110
146,Illyichevsk,Ukraine,Europe,AvtoZAZ,jan 2010,108
147,Ingolstadt #1,Germany,Europe,Volkswagen,jan 2010,18467
148,Ingolstadt #2,Germany,Europe,Volkswagen,jan 2010,20844
149,Isipingo,South Africa,Middle East/Africa,Toyota,jan 2010,6945
150,Izhevsk,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
151,Izhevsk,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
152,Izhevsk,Russia,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
153,Izmir,Turkey,Europe,BMC,jan 2010,40
154,Izmit,Turkey,Europe,Hyundai,jan 2010,4000
155,Jizzakh,Uzbekistan,Europe,PSA,jan 2010,0
156,Kaliningrad,Russia,Europe,Avtotor,jan 2010,0
157,Kaliningrad,Russia,Europe,Avtotor,jan 2010,480
158,Kaliningrad,Russia,Europe,BMW,jan 2010,0
159,Kaliningrad,Russia,Europe,Avtotor,jan 2010,0
160,Kaliningrad,Russia,Europe,Avtotor,jan 2010,0
161,Kaliningrad,Russia,Europe,Avtotor,jan 2010,0
162,Kaliningrad,Russia,Europe,Avtotor,jan 2010,1709
163,Kaliningrad,Russia,Europe,Avtotor,jan 2010,2613
164,Kaliningrad,Russia,Europe,Avtotor,jan 2010,0
165,Kaluga,Russia,Europe,PSA,jan 2010,0
166,Kaluga,Russia,Europe,PSA,jan 2010,0
167,Kaluga,Russia,Europe,Volkswagen,jan 2010,6770
168,Kashan,Iran,Middle East/Africa,PSA,jan 2010,0
169,Kashan,Iran,Middle East/Africa,PSA,jan 2010,3400
170,Kecskemet,Hungary,Europe,Daimler,jan 2010,0
171,Kempston Road,South Africa,Middle East/Africa,General Motors,jan 2010,864
172,Kenitra,Morocco,Middle East/Africa,PSA,jan 2010,0
173,Kerman,Iran,Middle East/Africa,Kerman Khodro,jan 2010,0
174,Kerman,Iran,Middle East/Africa,Kerman Khodro,jan 2010,0
175,Kerman,Iran,Middle East/Africa,Kerman Khodro,jan 2010,0
176,Kerman,Iran,Middle East/Africa,Kerman Khodro,jan 2010,219
177,Kerman,Iran,Middle East/Africa,Kerman Khodro,jan 2010,0
178,Kermanshah,Iran,Middle East/Africa,Iran Khodro,jan 2010,0
179,Khorasan,Iran,Middle East/Africa,Iran Khodro,jan 2010,0
180,Khorasan,Iran,Middle East/Africa,Iran Khodro,jan 2010,0
181,Khorasan,Iran,Middle East/Africa,Iran Khodro,jan 2010,601
182,Khorezm,Uzbekistan,Europe,,jan 2010,0
183,Khorezm,Uzbekistan,Europe,,jan 2010,0
184,Kocaeli-Otosan,Turkey,Europe,Ford,jan 2010,11365
185,Kolin,Czech Republic,Europe,,jan 2010,28602
186,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
187,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
188,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
189,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
190,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
191,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
192,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
193,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
194,Kostanay,Kazakhstan,Europe,AllurGroup,jan 2010,0
195,Kragujevac,Serbia,Europe,FCA,jan 2010,0
196,Kremenchug,Ukraine,Europe,KrASZ,jan 2010,1179
197,Kremenchug,Ukraine,Europe,KrASZ,jan 2010,250
198,Kvasiny,Czech Republic,Europe,Volkswagen,jan 2010,9543
199,Leipzig,Germany,Europe,BMW,jan 2010,14915
200,Leipzig,Germany,Europe,Volkswagen,jan 2010,2954
201,Linares,Spain,Europe,Santana,jan 2010,60
202,Lipetsk,Russia,Europe,Great Wall,jan 2010,0
203,Lipetsk,Russia,Europe,Great Wall,jan 2010,0
204,Lipetsk (Lifan),Russia,Europe,Lifan,jan 2010,0
205,Ludwigsfelde,Germany,Europe,Daimler,jan 2010,2517
206,Luton IBC #2,United Kingdom,Europe,,jan 2010,0
207,Luton IBC #2,United Kingdom,Europe,,jan 2010,5603
208,Macchia d'Isernia,Italy,Europe,DR Motor,jan 2010,236
209,Madrid,Spain,Europe,PSA,jan 2010,12005
210,Malvern Link,United Kingdom,Europe,Morgan,jan 2010,52
211,Mangualde,Portugal,Europe,PSA,jan 2010,3878
212,Maranello,Italy,Europe,Ferrari,jan 2010,313
213,Maranello,Italy,Europe,Ferrari,jan 2010,77
214,Martorell,Spain,Europe,Volkswagen,jan 2010,24670
215,Maubeuge,France,Europe,Renault-Nissan-Mitsubishi,jan 2010,10498
216,Mazandaran,Iran,Middle East/Africa,Iran Khodro,jan 2010,0
217,Melfi,Italy,Europe,FCA,jan 2010,22726
218,Mikhaylovsk,Russia,Europe,Derways,jan 2010,0
219,Mirafiori,Italy,Europe,FCA,jan 2010,13869
220,Mlada Boleslav,Czech Republic,Europe,Volkswagen,jan 2010,21167
221,Modena,Italy,Europe,FCA,jan 2010,322
222,Modiran,Iran,Middle East/Africa,Chery,jan 2010,1462
223,Molsheim,France,Europe,Volkswagen,jan 2010,2
224,Moscovia,Russia,Europe,Daimler,jan 2010,0
225,Mosel,Germany,Europe,Volkswagen,jan 2010,16979
226,Mulhouse,France,Europe,PSA,jan 2010,27531
227,Munich,Germany,Europe,BMW,jan 2010,12072
228,Naberezhnyie Chelny,Russia,Europe,Ford,jan 2010,99
229,Naberezhnyie Chelny,Russia,Europe,Ford,jan 2010,0
230,Naberezhnyie Chelny,Russia,Europe,Ford,jan 2010,26
231,Neckarsulm #1,Germany,Europe,Volkswagen,jan 2010,13854
232,Neckarsulm #2,Germany,Europe,Volkswagen,jan 2010,113
233,Nitra,Slovakia,Europe,Tata,jan 2010,0
234,Nizhny Novgorod,Russia,Europe,GAZ,jan 2010,0
235,Nizhny Novgorod,Russia,Europe,GAZ,jan 2010,0
236,Nizhny Novgorod,Russia,Europe,GAZ,jan 2010,0
237,Nizhny Novgorod,Russia,Europe,GAZ,jan 2010,0
238,Novo Mesto,Slovenia,Europe,Renault-Nissan-Mitsubishi,jan 2010,0
239,Novo Mesto,Slovenia,Europe,Renault-Nissan-Mitsubishi,jan 2010,19599
240,Obchak,Belarus,Europe,Unison,jan 2010,0
241,Obchak,Belarus,Europe,Unison,jan 2010,4
242,Obchak,Belarus,Europe,Unison,jan 2010,0
243,Oran,Algeria,Middle East/Africa,,jan 2010,0
244,Osnabruck,Germany,Europe,Volkswagen,jan 2010,0
245,Ostrava,Czech Republic,Europe,Hyundai,jan 2010,13011
246,Oued Tlelat,Algeria,Middle East/Africa,Renault-Nissan-Mitsubishi,jan 2010,0
247,Ouled Haddadj,Algeria,Middle East/Africa,,jan 2010,0
248,Ovar,Portugal,Europe,Toyota,jan 2010,198
249,Oxford,United Kingdom,Europe,BMW,jan 2010,16006
250,Palencia,Spain,Europe,Renault-Nissan-Mitsubishi,jan 2010,24105
251,Pamplona,Spain,Europe,Volkswagen,jan 2010,26695
252,Pitesti-Colibasi,Romania,Europe,Renault-Nissan-Mitsubishi,jan 2010,26059
253,Poissy,France,Europe,PSA,jan 2010,17602
254,Pomigliano,Italy,Europe,FCA,jan 2010,1846
255,Pontedera,Italy,Europe,Piaggio,jan 2010,0
256,Pontedera,Italy,Europe,Piaggio,jan 2010,285
